Identificador,Proceso,Nombre,Descripcion,Tipo de Activo,Categoria,Idioma,Origen,Soporte y medio de registro,Informacion disponible,Información publicada,Custodio,Estado,¿Contiene informacion personal?
SIPMV-032,Secretaría de infraestructura publica movilidad y valorización,Operario,Apoyo a las labores de la secretaría,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de infraestructura publica movilidad y valorización,Activo,No Aplica
SPDI-001,Secretaria de Planeación y Desempeño Institucional,Impresora EPSON L210,"Son multifuncional que redefine la economía en las familias activas de hoy. Única con el sistema original de Tanque de Tinta para imprimir cientos de proyectos escolares, páginas Web, fotos y todo lo que quieras sin la molestia de tener que cambiar o recargar un cartucho.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-002,Secretaria de Planeación y Desempeño Institucional,Impresora EPSON L5290,"Son multifuncional que redefine la economía en las familias activas de hoy. Única con el sistema original de Tanque de Tinta para imprimir cientos de proyectos escolares, páginas Web, fotos y todo lo que quieras sin la molestia de tener que cambiar o recargar un cartucho.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-003,Secretaria de Planeación y Desempeño Institucional,CPU,"La CPU es el componente principal que procesa las señales y hace posible la computación. Actúa como el cerebro de cualquier dispositivo de computación. Obtiene instrucciones de la memoria, realiza las tareas necesarias y envía la salida a la memoria.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-004,Secretaria de Planeación y Desempeño Institucional,Monitor,"El monitor del computador, también conocido como pantalla, muestra la información de tu equipo como imágenes y textos, que son generados gracias a una tarjeta de video que se encuentra en el interior de la torre del computador.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-005,Secretaria de Planeación y Desempeño Institucional,Teclado,"El teclado es un dispositivo de entrada que utiliza una disposición de teclas, para que actúen como interruptores electrónicos que envían información a la computadora. El teclado tiene entre 99 y 108 teclas; y, está dividido en cuatro bloques: de funciones, alfanumérico, especial y numérico.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-006,Secretaria de Planeación y Desempeño Institucional,Computador AIO,"Una computadora todo en uno (AIO) es un equipo de cómputo que integra todos los componentes de un ordenador de escritorio en una sola unidad, incluyendo la pantalla, la CPU, los altavoces y la memoria",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-007,Secretaria de Planeación y Desempeño Institucional,Teclado,"El teclado es un dispositivo de entrada que utiliza una disposición de teclas, para que actúen como interruptores electrónicos que envían información a la computadora. El teclado tiene entre 99 y 108 teclas; y, está dividido en cuatro bloques: de funciones, alfanumérico, especial y numérico.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-008,Secretaria de Planeación y Desempeño Institucional,CPU,"La CPU es el componente principal que procesa las señales y hace posible la computación. Actúa como el cerebro de cualquier dispositivo de computación. Obtiene instrucciones de la memoria, realiza las tareas necesarias y envía la salida a la memoria.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-009,Secretaria de Planeación y Desempeño Institucional,Monitor,"El monitor del computador, también conocido como pantalla, muestra la información de tu equipo como imágenes y textos, que son generados gracias a una tarjeta de video que se encuentra en el interior de la torre del computador.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-010,Secretaria de Planeación y Desempeño Institucional,Teclado,"El teclado es un dispositivo de entrada que utiliza una disposición de teclas, para que actúen como interruptores electrónicos que envían información a la computadora. El teclado tiene entre 99 y 108 teclas; y, está dividido en cuatro bloques: de funciones, alfanumérico, especial y numérico.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-011,Secretaria de Planeación y Desempeño Institucional,Impresora HP LASER P10005,"Son multifuncional que redefine la economía en las familias activas de hoy. Única con el sistema original de Tanque de Tinta para imprimir cientos de proyectos escolares, páginas Web, fotos y todo lo que quieras sin la molestia de tener que cambiar o recargar un cartucho.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-012,Secretaria de Planeación y Desempeño Institucional,CPU,"La CPU es el componente principal que procesa las señales y hace posible la computación. Actúa como el cerebro de cualquier dispositivo de computación. Obtiene instrucciones de la memoria, realiza las tareas necesarias y envía la salida a la memoria.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-013,Secretaria de Planeación y Desempeño Institucional,Monitor,"El monitor del computador, también conocido como pantalla, muestra la información de tu equipo como imágenes y textos, que son generados gracias a una tarjeta de video que se encuentra en el interior de la torre del computador.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-014,Secretaria de Planeación y Desempeño Institucional,Teclado,"El teclado es un dispositivo de entrada que utiliza una disposición de teclas, para que actúen como interruptores electrónicos que envían información a la computadora. El teclado tiene entre 99 y 108 teclas; y, está dividido en cuatro bloques: de funciones, alfanumérico, especial y numérico.",Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-015,Secretaria de Planeación y Desempeño Institucional,CPU,"La CPU es el componente principal que procesa las señales y hace posible la computación. Actúa como el cerebro de cualquier dispositivo de computación. Obtiene instrucciones de la memoria, realiza las tareas necesarias y envía la salida a la memoria.",Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-016,Secretaria de Planeación y Desempeño Institucional,Monitor,"El monitor del computador, también conocido como pantalla, muestra la información de tu equipo como imágenes y textos, que son generados gracias a una tarjeta de video que se encuentra en el interior de la torre del computador.",Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-017,Secretaria de Planeación y Desempeño Institucional,Monitor,"El monitor del computador, también conocido como pantalla, muestra la información de tu equipo como imágenes y textos, que son generados gracias a una tarjeta de video que se encuentra en el interior de la torre del computador.",Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-018,Secretaria de Planeación y Desempeño Institucional,CPU,"La CPU es el componente principal que procesa las señales y hace posible la computación. Actúa como el cerebro de cualquier dispositivo de computación. Obtiene instrucciones de la memoria, realiza las tareas necesarias y envía la salida a la memoria.",Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-019,Secretaria de Planeación y Desempeño Institucional,Impresora Ricvoh,"Son multifuncional que redefine la economía en las familias activas de hoy. Única con el sistema original de Tanque de Tinta para imprimir cientos de proyectos escolares, páginas Web, fotos y todo lo que quieras sin la molestia de tener que cambiar o recargar un cartucho.",Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-020,Secretaria de Planeación y Desempeño Institucional,Portatil ASUS GAMER,"Una computadora portátil, también conocida como laptop, es un equipo personal que se puede transportar fácilmente",Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-021,Secretaria de Planeación y Desempeño Institucional,Circulares,Circulares invitación o socialización de temas relacionados con urbanismo MIPG proyectos,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-022,Secretaria de Planeación y Desempeño Institucional,Actas de Comité Institucional de Gestión y Desempeño,Documento que describe la realización del Comité Institucional de Gestión y Desempeño como elemento para la implementación del Modelo Integrado de Planeación y Gestión - MIPG,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-023,Secretaria de Planeación y Desempeño Institucional,Oficios,Documentos de comunicación de salida con requerimientos de la sectorial,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-024,Secretaria de Planeación y Desempeño Institucional,Informe de monitoreo de riesgos,Documento que describe el seguimiento del estado de los riesgos de corrupción y de gestión de la entidad,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,Publicada (Externo - Internet),Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-025,Secretaria de Planeación y Desempeño Institucional,Mapa de riesgos,Matriz que describe los riesgos a los cuales están expuestos los procesos de la entidad,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,Publicada (Externo - Internet),Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-026,Secretaria de Planeación y Desempeño Institucional,Informe de indicadores de gestión,Documento que describe el seguimiento y medición de los indicadores de cada uno de los proceso,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-027,Secretaria de Planeación y Desempeño Institucional,Informe de monitoreo de MIPG,Documetno que describe el comportamiento en la implementación del modelo integrado de planeación,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-028,Secretaria de Planeación y Desempeño Institucional,"Control de capacitación, asesorías y/o asistencias tecnicas",Documento en el cual se registran las solicitudes sobre el sistema MIPG de todas las dependencias,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-029,Secretaria de Planeación y Desempeño Institucional,Micrositio de procesos y procedimientos de la entidad,Sistema de información donde se alojan todos los procedimientos de la entidad,Sisterma de Información,Primario,Español,Externo,Medio electrónico,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-030,Secretaria de Planeación y Desempeño Institucional,Informe de plan anticorrupción y atención al ciudadano,Documento que relaciona el monitoreo de las acciones en el marco de la transparencia y acceso a la Datos /Información,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,Publicada (Externo - Internet),Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-031,Secretaria de Planeación y Desempeño Institucional,Autodiagnósticos y planes de acción,Matriz que contiene la relación de las actividades en el marco de la implementación de las políticas de MIPG,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-032,Secretaria de Planeación y Desempeño Institucional,Actas de mesas tecnicas,Documento que describe la ejecución de las actividades por cada proceso y política de MIPG,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-033,Secretaria de Planeación y Desempeño Institucional,Boletines informativos,Datos /Información sobre las políticas de MIPG,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,Publicada (Interno - Intranet),Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-034,Secretaria de Planeación y Desempeño Institucional,Mapa de procesos,Elemento gráfico que describe los procesos con los que cuenta entidad,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,Publicada (Externo - Internet),Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-035,Secretaria de Planeación y Desempeño Institucional,Profesional especializado de apoyo MIPG,Apoyar la coordinación en la implementación del MIPG,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-036,Secretaria de Planeación y Desempeño Institucional,Profesional universitario de apoyo MIPG,Apoyo en la implementación de las actividades de indicadores y divulgación de MIPG,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-037,Secretaria de Planeación y Desempeño Institucional,Profesional universitario de apoyo MIPG,Apoyo en la implementación de las actividades de riesgos y documentación del MIPG,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-038,Secretaria de Planeación y Desempeño Institucional,"Actas (Visitas, Acompañamientos, Reuniones de comites y Resoluciones)","Documento que describe la realización de Visitas, Acompañamientos, Reuniones de comites y Resoluciones que se realizan.",Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-039,Secretaria de Planeación y Desempeño Institucional,Formato de verificación de documentos de Licenciamiento,"Documento en el cual se verifica si la Datos /Información documental requerida, se encuentra completa y responde a los requisitos legales y necesarios de las partes interesadas.",Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-040,Secretaria de Planeación y Desempeño Institucional,Oficios de respuesta,Es una comunicación oficial debidamente firmada que indica los documentos y su conteido dependiendo de la solicitud.,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-041,Secretaria de Planeación y Desempeño Institucional,Formatos y planillas control de urbanismo,"Documento donde se planifica, se registra visita a terreno e Datos /Información del desarrollo en estudio realizado en  terreno sobre las condiciones urbanisticas y de lo registrado en el plano de loteo que acompaña el trámite de legalización.",Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-042,Secretaria de Planeación y Desempeño Institucional,Licencias urbanisticas y otras actuaciones Decreto 1469,Es el documento donde se registra el estudio urbanístico de las condiciones urbanísticas y normativas que será de aplicación por las partes de trámite y partes interesadas y culmine con una decisión mediante acto administrativo el trámite de legalización de barrios.,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-043,Secretaria de Planeación y Desempeño Institucional,Radicado de expedientes,"Es una comunicación oficial , se envía el expediente urbanístico del desarrollo de trámite de regularización de barrios y que informa a la dirección el envío del mismo.",Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-044,Secretaria de Planeación y Desempeño Institucional,Documento concepto cartográfico,"Es el documento de verificación y validación del concepto cartográfico y del contenido de modificación  del espacio público, de la Datos /Información registrada en el plano.",Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-045,Secretaria de Planeación y Desempeño Institucional,Profesional especializado,"Apoyo en lo concerniente a la aplicación, ejecución y seguimiento del plan de ordenamiento territorial.",Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-046,Secretaria de Planeación y Desempeño Institucional,Profesional de apoyo,"Apoyo en la estructuración de usos de suelos, paramentos, licenciamientos y estratificaciones.",Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-047,Secretaria de Planeación y Desempeño Institucional,Técnico Operativo,Apoyo a actividades relacionadas con la implementación del PBOT.,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-048,Secretaria de Planeación y Desempeño Institucional,Practicante universitaria,"Apoyo a la recepción y verificación de los proyectos de licenciamiento, contrastando que la información este completa y en debida forma, diligenciando el formato establecido para cada tipo de proyectos.",Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-049,Secretaria de Planeación y Desempeño Institucional,Profesional de apoyo,Apoyo en la revisión técnica y aprobación de licencias de construcción y acompañamiento en las acciones de fortalecimiento del proceso de licenciamiento.,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-050,Secretaria de Planeación y Desempeño Institucional,Auxiliar Administrativo,Apoyo en el manejo de las solicitudes de la comunidad y de las dependencias de la entidad.,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-051,Secretaria de Planeación y Desempeño Institucional,Carta de presentación del proyecto,Documento que relaciona la descripción general de un proyecto de inversión,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-052,Secretaria de Planeación y Desempeño Institucional,Documento técnico del Proyecto,Documento que describe la parte técnica del proyecto de inversión,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-053,Secretaria de Planeación y Desempeño Institucional,Marco Lógico,Documento que describe el árbol de problemas y objetivos del proyecto de inversión,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-054,Secretaria de Planeación y Desempeño Institucional,Presupuesto general,Documento que describe la relación presupuestal del proyecto de inversión,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-055,Secretaria de Planeación y Desempeño Institucional,Constancia de Viabilidad Técnica,Documento que otorga la viabilidad para los proyectos de inversión,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-056,Secretaria de Planeación y Desempeño Institucional,Certificación de registro,Documento que otorga la certificación del proyecto de inversión,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-057,Secretaria de Planeación y Desempeño Institucional,Solicitud de ajuste,Documento que relaciona los ajustes a realizar en un proyecto de inversión,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-058,Secretaria de Planeación y Desempeño Institucional,Aceptación de ajuste,Documento mediante el cual se acepta los ajustes al proyecto de inversión,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de Planeación y Desempeño Institucional,Activo,SI
SPDI-059,Secretaria de Planeación y Desempeño Institucional,Profesional Especializado de apoyo Proyectos,Apoyo en la revisión técnica y aprobación de proyectos de inversión y acompañamiento en las acciones de fortalecimiento del proceso de proyectos.,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SGCP-001,Secretaría general de contratación publica,Computador AIO,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-002,Secretaría general de contratación publica,Teclado,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-003,Secretaría general de contratación publica,Impresora Epson L3210,"usado para imprimir resoluciones, decretos, comunicados etc",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-004,Secretaría general de contratación publica,Scanner hp,Dispositivo que se utiliza para copiar documentos físicos a digitales.,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-005,Secretaría general de contratación publica,cpu HP,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-006,Secretaría general de contratación publica,Monitor hp,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-007,Secretaría general de contratación publica,cpu HP,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-008,Secretaría general de contratación publica,Monitor hp,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-009,Secretaría general de contratación publica,HP ALL IN ONE,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-010,Secretaría general de contratación publica,Teclado,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-011,Secretaría general de contratación publica,Impresora Epson L3110,"usado para imprimir resoluciones, decretos, comunicados etc",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-012,Secretaría general de contratación publica,Impresora Epson L3110,"usado para imprimir resoluciones, decretos, comunicados etc",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-013,Secretaría general de contratación publica,Scanner hp,Dispositivo que se utiliza para copiar documentos físicos a digitales.,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-014,Secretaría general de contratación publica,CPU hp,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-015,Secretaría general de contratación publica,Monitor hp,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-016,Secretaría general de contratación publica,Plan Anual de adquisiciones,base de datos que describe las necesidades de contratación de toda la entidad.,Sisterma de Información,Primario,Español,Externo,Medio electrónico,Disponible,No Aplica,Secretaria general de contratación publica,Activo,SI
SGCP-017,Secretaría general de contratación publica,Actas Subcomité de Adquisiciones,Documento que soporta las mesas o comités del plan anual de adquisiciones según orden del día,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria general de contratación publica,Activo,SI
SGCP-018,Secretaría general de contratación publica,Base de datos contratos,Documento que soporta la relación de los contratos de la entidad,Sisterma de Información,Primario,Español,Externo,Medio electrónico,Disponible,No Aplica,Secretaria general de contratación publica,Activo,SI
SGCP-019,Secretaría general de contratación publica,Base de datos Contratos de prestación de servicios profesionales,Documento que soporta la base de datos de los contratos por prestación de servicios,Sisterma de Información,Primario,Español,Externo,Medio electrónico,Disponible,No Aplica,Secretaria general de contratación publica,Activo,SI
SGCP-020,Secretaría general de contratación publica,Secop,Plataforma que soporta el cargue de la información contractual de la entidad,Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-021,Secretaría general de contratación publica,Base de datos Informacion,"Sistema de información donde se aloja la radicacion de carpetas contraactuales,correspondencia, radicacion de cuentas, recibos de registrros presupuestas, numeros de radicados de cuentas, cuentas pagadas originales",Sisterma de Información,Primario,Español,Externo,Medio electrónico,Disponible,No Aplica,Secretaria general de contratación publica,Activo,SI
SGCP-022,Secretaría general de contratación publica,Oficios,Documento de solicitud de Datos /Información y/o respuesta a solicitudes de la secretaría de contratación,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria general de contratación publica,Activo,SI
SGCP-023,Secretaría general de contratación publica,Circulares,Documentos informativos de la secretaría de contratación,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria general de contratación publica,Activo,SI
SGCP-024,Secretaría general de contratación publica,Actas de aprobacion de polizas,Documento donde se realiza la aprobación de las polizas de los contratos,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria general de contratación publica,Activo,SI
SGCP-025,Secretaría general de contratación publica,Certificaciones,Certificaciones PAA y contratos,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria general de contratación publica,Activo,SI
SGCP-026,Secretaría general de contratación publica,8 Abogados,"Revisión de estudios previos, realizacion de contratos y aprobaciones en secop",Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-027,Secretaría general de contratación publica,Asesor,"Revisión de estudios previos, realizacion de contratos y aprobaciones en secop",Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-028,Secretaría general de contratación publica,Judicante de derecho,Apoyo tecnologico y de procesos de la oficina,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-029,Secretaría general de contratación publica,Administrador de empresas,"Revisión de estudios previos, realizacion de contratos y aprobaciones en secop",Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-030,Secretaría general de contratación publica,Secretaria,Apoyo en todas las actividades de la oficina,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-031,Secretaría general de contratación publica,Profesional,Apoyo tecnologico de la oficina,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-032,Secretaría general de contratación publica,Auxiliar administrativo,Apoyo en todas las actividades de la oficina,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SGCP-033,Secretaría general de contratación publica,Profesional en derecho,Secretaría general de contratacion,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria general de contratación publica,Activo,No Aplica
SCPT-001,"Secretaría de Cultura , Patrimonio y Turismo",HP ALL IN ONE,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,"Secretario de Cultura , Patrimonio y Turismo",Activo,No Aplica
SCPT-002,"Secretaría de Cultura , Patrimonio y Turismo",HP ALL IN ONE,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,"Secretario de Cultura , Patrimonio y Turismo",Activo,No Aplica
